checkpoint,opponent_type,mean_reward,std_reward,win_rate,std_win_rate,mean_length,std_length
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep1000.pth,random,0.07397535613919365,7.862100951067188,0.363,0.4808648458766766,172.92,85.45228844214765
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep1000.pth,weak,-6.101764269077433,8.051266180942575,0.179,0.3833523183704514,133.724,84.39835202182563
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep1000.pth,strong,-5.059418297635795,8.131644931859045,0.226,0.4182391660282428,165.174,85.09304157215207
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep2000.pth,random,2.0541941393496743,7.1264692680158594,0.463,0.49862912068991716,166.466,86.989739877758
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep2000.pth,weak,-0.8663543095591076,7.463570015352068,0.324,0.468,183.246,81.19649921024921
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep2000.pth,strong,-1.6098887779802518,8.93814998895725,0.41,0.4918333050943175,153.488,82.7889235103344
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep3000.pth,random,2.5027361695222674,7.176810477966299,0.492,0.49993599590347565,156.025,89.20996791278428
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep3000.pth,weak,2.0988904657859577,8.051299565930487,0.52,0.49959983987187184,157.888,80.7480616237938
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep3000.pth,strong,-2.0477097925367995,9.350468662449963,0.392,0.48819668167655544,143.784,79.72892413672719
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep4000.pth,random,3.5372986904296537,6.900063410268441,0.55,0.49749371855331004,139.861,92.93251142092309
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep4000.pth,weak,2.8667041685836483,6.287447546436875,0.471,0.4991582915268462,188.463,74.75897692585153
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep4000.pth,strong,-1.4445043996645943,9.671031302813027,0.452,0.4976906669810074,123.163,77.64822232994133
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep5000.pth,random,4.0136174247345435,6.823362637948189,0.589,0.49201524366629135,134.045,92.41129246471992
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep5000.pth,weak,0.22893718554451967,7.06237447981588,0.32,0.46647615158762396,195.822,72.07938898187193
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep5000.pth,strong,-4.728716571465972,8.835482403258663,0.281,0.449487485921466,141.114,80.86483168844167
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep6000.pth,random,4.22126605969628,6.74148829637064,0.601,0.4896927608204965,132.116,91.80109228108344
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep6000.pth,weak,2.6547614129987256,5.06894458721927,0.357,0.4791148087880398,201.983,75.44492501818794
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep6000.pth,strong,-5.795995720138352,8.571658285688933,0.229,0.4201892430798294,149.072,77.19938352085462
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep7000.pth,random,4.285442903200052,6.589698795379723,0.597,0.49050076452539815,132.105,93.75480774338988
