episodes,rewards,reward_std,lengths,overall_win_rate,random_wr,weak_wr,strong_wr,self_wr,q_losses,actor_losses
50.0,-23.538,23.583,211.04,0.588,0.588,0.0,0.0,0.0,0.4146957491864645,-0.1550066979363509
100.0,-16.178,18.724,184.62,0.585,0.585,0.0,0.0,0.0,0.4868142126434515,-0.5645653877703789
150.0,-16.599,14.897,198.62,0.54,0.557,0.0,0.0,0.0,0.5035444477672057,-0.5596416977150105
200.0,-9.755,13.191,194.7,0.58,0.581,0.0,0.0,0.0,0.5149872138716582,-0.4322670166359903
250.0,-10.574,11.859,197.28,0.58,0.581,0.0,0.0,0.0,0.4953056521275464,-0.29073103620826296
300.0,-12.625,14.639,176.42,0.56,0.576,0.0,0.0,0.0,0.46562237919464394,-0.19682806974013822
350.0,-8.575,14.983,178.76,0.56,0.58,0.0,0.0,0.0,0.4513137116911052,-0.12330069285637274
400.0,-8.292,13.813,166.28,0.6,0.584,0.0,0.0,0.0,0.4373481502910574,-0.10138291554199136
450.0,-5.981,13.961,179.06,0.7,0.607,0.0,0.0,0.0,0.42095244408460036,-0.08011502949312943
500.0,-5.927,13.612,176.86,0.7,0.613,0.0,0.0,0.0,0.41658598691290677,-0.0796309717245032
550.0,-4.817,13.553,154.02,0.64,0.618,0.0,0.0,0.0,0.4120979015558686,-0.06580854746149505
600.0,-4.232,13.889,165.96,0.68,0.619,0.0,0.0,0.0,0.3998134210729194,-0.04212429110703743
650.0,-6.842,14.002,167.76,0.62,0.616,0.0,0.0,0.0,0.3957672628845648,-0.004281128084356772
700.0,-3.475,13.271,153.88,0.66,0.622,0.0,0.0,0.0,0.3888400273948917,0.022436563529076536
750.0,-5.032,12.506,160.54,0.62,0.619,0.0,0.0,0.0,0.38112871006679594,0.03692501112900747
800.0,-3.248,12.925,160.46,0.72,0.63,0.0,0.0,0.0,0.38268803369890186,0.026372805767150356
850.0,-6.952,12.397,186.94,0.68,0.627,0.0,0.0,0.0,0.37602431130937974,0.030180804949100287
900.0,-5.712,13.536,158.44,0.52,0.621,0.0,0.0,0.0,0.3740483350622913,0.038410558231988204
950.0,-7.533,12.551,182.68,0.52,0.611,0.0,0.0,0.0,0.377990432231259,0.046345492757238115
1000.0,-6.576,12.05,193.28,0.5,0.607,0.0,0.0,0.0,0.37708950549429715,0.06200039534049988
1050.0,-5.793,12.749,176.2,0.6,0.609,0.0,0.0,0.0,0.3711784811149644,0.08441423969217332
1100.0,-5.819,12.628,157.18,0.6,0.606,0.0,0.0,0.0,0.3716557521786694,0.107249045993848
1150.0,-4.306,12.711,161.54,0.64,0.611,0.0,0.0,0.0,0.3688221502722191,0.12257561006165218
1200.0,-3.769,13.442,154.72,0.68,0.613,0.0,0.0,0.0,0.37221923557916653,0.13755597713508577
1250.0,-4.903,13.335,166.06,0.66,0.616,0.0,0.0,0.0,0.36219309968097513,0.14737887233648053
1300.0,1.258,11.778,146.74,0.6,0.617,0.412,0.0,1.0,0.3620500814224722,0.16477946765995055
1350.0,-1.882,10.916,121.42,0.4,0.616,0.364,0.0,0.333,0.3630478865847568,0.173545349641261
1400.0,-4.371,11.005,151.9,0.28,0.609,0.312,0.0,0.231,0.3583658062397365,0.18028161837214024
1450.0,-4.251,11.653,154.76,0.3,0.596,0.313,0.0,0.231,0.3581928004021163,0.19507234876951393
1500.0,-0.787,10.971,158.34,0.32,0.587,0.318,0.0,0.333,0.3579924855968344,0.20733488577975534
1550.0,-2.611,12.44,167.14,0.36,0.578,0.323,0.0,0.364,0.35930779356229375,0.20618624825495788
1600.0,2.335,10.522,160.44,0.44,0.574,0.351,0.0,0.393,0.3579023789149217,0.20841074052913341
1650.0,-1.619,12.63,127.14,0.4,0.571,0.358,0.0,0.353,0.36328479020231436,0.23040436725206873
1700.0,-0.073,12.401,147.46,0.44,0.569,0.37,0.0,0.342,0.3555883335950953,0.23883203513212514
1750.0,0.798,11.777,162.32,0.48,0.567,0.372,0.0,0.378,0.35603437503578905,0.2404427061981799
1800.0,0.158,11.324,151.48,0.42,0.564,0.376,0.0,0.388,0.3606610748261804,0.24749780690268774
1850.0,-0.774,12.58,142.84,0.5,0.564,0.378,0.0,0.385,0.3550620666532518,0.2524725818551301
1900.0,-1.326,12.57,141.84,0.42,0.562,0.379,0.0,0.375,0.354442262701566,0.26527538600536815
1950.0,-1.347,11.702,141.76,0.4,0.559,0.378,0.0,0.377,0.35485194479333565,0.2701882333683683
2000.0,0.706,11.343,169.2,0.4,0.559,0.378,0.0,0.353,0.35974476283715556,0.2809044828356606
2050.0,1.068,11.226,162.9,0.42,0.557,0.373,0.0,0.357,0.3604782802381205,0.2822742497676778
2100.0,-2.489,13.065,157.18,0.36,0.556,0.365,0.0,0.347,0.35555780146033106,0.2986921408559662
2150.0,-2.476,12.836,168.08,0.4,0.552,0.361,0.0,0.392,0.35838760593545704,0.3142123012309856
2200.0,1.332,10.607,165.06,0.38,0.55,0.358,0.0,0.381,0.3604842412838324,0.31865514370959375
